complex_id,name,district,dong,households,built_ymd,min_area_m2,max_area_m2,min_price_manwon,max_price_manwon,sale_count,lat,lng,url
1997,인택스빌,송파구,문정동,48,200211,83.43,109.30,95400,102500,0,37.4868108,127.1326068,https://kbland.kr/c/1997
15688,자이파인빌,송파구,문정동,38,200612,80.45,138.84,76600,137600,1,37.4835024,127.1250693,https://kbland.kr/c/15688
295698,제이제이파크(도),송파구,문정동,35,201801,27.99,63.49,,,0,37.484313,127.1258147,https://kbland.kr/c/295698
21672,주성,송파구,문정동,12,200201,87.47,95.75,82100,83900,0,37.4856935,127.1240316,https://kbland.kr/c/21672
22122,주성파크뷰,송파구,문정동,19,2003.04,89.40,100.93,63000,63000,0,37.4848525,127.1236514,https://kbland.kr/c/22122
1996,크로바.,송파구,문정동,14,199204,134.01,184.50,110300,134900,1,37.48673000,127.13207000,https://kbland.kr/c/1996
21732,트윈팰리스,송파구,문정동,37,200612,103.39,250.13,93800,94700,14,37.48559000,127.13199000,https://kbland.kr/c/21732
12943,프라임,송파구,문정동,12,200405,77.07,94.80,63800,71200,2,37.4908235,127.1269063,https://kbland.kr/c/12943
1995,현대,송파구,문정동,120,199109,88.77,101.42,100000,107500,46,37.48571000,127.13008000,https://kbland.kr/c/1995
1988,현대(1차),송파구,문정동,514,198411,102.73,144.34,197500,215000,113,37.4912823,127.1280204,https://kbland.kr/c/1988
1991,현대2차,송파구,문정동,108,199510,64.90,112.17,95000,110000,0,37.4842011,127.1245184,https://kbland.kr/c/1991
1082473,힐스테이트e편한세상문정,송파구,문정동,1265,202409,68.78,116.92,,,129,37.4890916,127.1344667,https://kbland.kr/c/1082473
2095227,GB블루씨엘(도시형),송파구,방이동,15,202303,38.22,77.43,,,0,37.5128477,127.1153365,https://kbland.kr/c/2095227
924112,"강남캐슬(민간임대,도시형)",송파구,방이동,20,202301,29.77,36.39,,,0,37.5131838,127.1180376,https://kbland.kr/c/924112
1939,광남벨라스,송파구,방이동,19,200304,88.75,125.03,86000,117300,3,37.5138748,127.1163102,https://kbland.kr/c/1939
26351,광명.,송파구,방이동,12,200703,65.76,81.94,68100,79000,0,37.5097969,127.1156231,https://kbland.kr/c/26351
48995,그린빌(도),송파구,방이동,15,201705,22.75,43.01,,,0,37.5101461,127.1142545,https://kbland.kr/c/48995
26406,그린파크빌,송파구,방이동,19,200208,76.83,126.19,,,0,37.5140086,127.1113202,https://kbland.kr/c/26406
27495,뉴파크플러스,송파구,방이동,19,200603,76.93,92.07,65300,70800,4,37.5125523,127.1129663,https://kbland.kr/c/27495
1920,대림,송파구,방이동,480,198503,101.94,175.53,238500,265000,82,37.50755,127.1241797,https://kbland.kr/c/1920
19396,도무스빌,송파구,방이동,13,200411,159.58,159.58,210800,210800,0,37.5155919,127.1169913,https://kbland.kr/c/19396
1071042,디벨라지오,송파구,방이동,24,202309,104.61,104.94,,,10,37.5101171,127.1212538,https://kbland.kr/c/1071042
34566,몽촌,송파구,방이동,15,200703,40.59,65.08,44100,48000,0,37.5129969,127.1121806,https://kbland.kr/c/34566
1926,방이그린파크,송파구,방이동,13,199312,185.34,185.34,170300,170300,0,37.5150522,127.1183212,https://kbland.kr/c/1926
1925,방이금호어울림,송파구,방이동,144,200105,75.28,106.34,110000,140000,17,37.51248300,127.11811400,https://kbland.kr/c/1925
20375,방이드림펠리스,송파구,방이동,11,200307,77.98,131.54,78900,102500,6,37.5135946,127.1161891,https://kbland.kr/c/20375
45111,보람파크빌리지(도시형),송파구,방이동,112,201612,59.18,102.41,,,0,37.5105934,127.1218143,https://kbland.kr/c/45111
21031,보미리즌빌,송파구,방이동,38,200506,71.54,112.21,89900,116700,0,37.5105577,127.1194752,https://kbland.kr/c/21031
20863,부광,송파구,방이동,19,200404,75.95,93.10,82700,85000,0,37.5127789,127.1131446,https://kbland.kr/c/20863
21764,서경,송파구,방이동,19,200311,48.69,103.15,40700,67500,2,37.5089262,127.1167706,https://kbland.kr/c/21764
21666,서림올림피아드,송파구,방이동,14,200406,28.72,85.43,20000,20000,0,37.5095566,127.1184311,https://kbland.kr/c/21666
35831,서울탑빌라트,송파구,방이동,15,199002,55.75,113.92,48700,48700,0,37.5088197,127.1176174,https://kbland.kr/c/35831
29069,세원,송파구,방이동,12,200306,67.79,84.10,46400,54500,0,37.5134737,127.1193012,https://kbland.kr/c/29069
507270,슬로우밀리113(도),송파구,방이동,20,202203,26.78,43.79,,,0,37.5108253,127.1144691,https://kbland.kr/c/507270
12624,신구블레스벨리,송파구,방이동,104,200406,142.27,177.06,188500,198500,11,37.5114867,127.1222995,https://kbland.kr/c/12624
19936,신암밀리안,송파구,방이동,19,200611,91.81,112.79,113600,120300,0,37.5136371,127.1194690,https://kbland.kr/c/19936
21531,아쿠아드카사스,송파구,방이동,10,200410,60.55,68.52,55400,65100,0,37.5073544,127.1215674,https://kbland.kr/c/21531
20169,아크로빌,송파구,방이동,19,199811,216.70,278.80,157600,222600,1,37.5119841,127.1116949,https://kbland.kr/c/20169
1934,옥산크리스탈,송파구,방이동,77,200107,84.02,99.51,75000,90000,0,37.5122792,127.1234553,https://kbland.kr/c/1934
21663,올림픽공원한승오디브,송파구,방이동,19,200608,244.86,307.99,242900,253500,1,37.51424000,127.12047000,https://kbland.kr/c/21663
1923,올림픽베어스타운,송파구,방이동,140,199604,75.02,106.47,127500,150000,1,37.5148841,127.1187304,https://kbland.kr/c/1923
1940,올림픽선수기자촌,송파구,방이동,5540,198901,82.65,211.57,245000,420000,528,37.5150496,127.1362303,https://kbland.kr/c/1940
1938,올림픽아트빌,송파구,방이동,18,200211,115.00,153.90,131900,166400,0,37.51075300,127.12666300,https://kbland.kr/c/1938
1935,올림픽타워,송파구,방이동,12,199808,187.36,244.22,209700,254500,1,37.5129935,127.1239647,https://kbland.kr/c/1935
735912,올림픽포레다움,송파구,방이동,66,202301,34.18,43.05,53000,53000,2,37.5129866,127.1160568,https://kbland.kr/c/735912
1937,올림픽하이빌,송파구,방이동,22,200105,169.52,187.93,150300,150300,0,37.5098388,127.1260967,https://kbland.kr/c/1937
18483,우광,송파구,방이동,15,200007,54.25,83.25,64400,86500,0,37.5150805,127.1160811,https://kbland.kr/c/18483
15834,원진아뜨리에,송파구,방이동,19,200410,133.49,145.33,134100,144500,0,37.5144221,127.1184078,https://kbland.kr/c/15834
18480,윈저하우스,송파구,방이동,18,200212,68.19,108.58,60800,97400,0,37.5099905,127.1222491,https://kbland.kr/c/18480
18481,은성,송파구,방이동,19,200103,82.69,90.81,61100,65800,0,37.5125659,127.1147873,https://kbland.kr/c/18481
20111,인택스빌3차,송파구,방이동,12,200202,69.00,95.13,57400,66300,3,37.5108192,127.1258477,https://kbland.kr/c/20111
1936,인텍스빌,송파구,방이동,14,200010,22.77,133.14,44200,113000,0,37.5098386,127.1204949,https://kbland.kr/c/1936
21530,인텍스빌2차,송파구,방이동,18,200107,68.51,85.70,72900,92100,0,37.5075829,127.1210869,https://kbland.kr/c/21530
1081185,잠실라펜앤,송파구,방이동,42,202409,37.80,61.01,,,1,37.5127155,127.1168236,https://kbland.kr/c/1081185
31794,정우아트빌,송파구,방이동,26,200509,53.12,85.60,48900,66300,0,37.5101664,127.1192383,https://kbland.kr/c/31794
18790,주함위너스,송파구,방이동,36,200405,85.21,104.71,87900,102600,1,37.5135469,127.1170380,https://kbland.kr/c/18790
1073464,진흥펠리체(도),송파구,방이동,20,201510,21.66,34.91,,,0,37.5100649,127.1161008,https://kbland.kr/c/1073464
1924,코오롱,송파구,방이동,758,199110,80.81,108.31,212000,212000,96,37.5088435,127.1230996,https://kbland.kr/c/1924
427140,트리니엘,송파구,방이동,42,202107,38.31,59.22,,,5,37.511629,127.1183815,https://kbland.kr/c/427140
15600,한성나이스빌,송파구,방이동,12,200209,86.44,86.44,63500,63500,0,37.5098213,127.1226046,https://kbland.kr/c/15600
1929,한솔빌라트,송파구,방이동,17,199602,162.24,245.45,208800,350200,1,37.5151826,127.1176862,https://kbland.kr/c/1929
1922,한양(3차),송파구,방이동,252,198502,103.33,169.55,232000,270000,5,37.5061418,127.1226631,https://kbland.kr/c/1922
27677,해동,송파구,방이동,25,200705,63.98,71.64,64600,73600,0,37.5106765,127.1197988,https://kbland.kr/c/27677
1931,현대(208-19).,송파구,방이동,19,199303,152.60,201.96,107400,142500,17,37.5100121,127.1239342,https://kbland.kr/c/1931
13461,현대(주상복합),송파구,방이동,86,199801,35.13,295.13,,,4,37.515445,127.1133404,https://kbland.kr/c/13461
1932,현대월드빌리지,송파구,방이동,19,199503,233.47,260.24,195400,195400,1,37.51225000,127.12483000,https://kbland.kr/c/1932
1933,현대파크빌라트,송파구,방이동,19,199704,245.95,330.62,249700,480900,0,37.5113981,127.1248199,https://kbland.kr/c/1933
13142,현대홈타운스위트,송파구,방이동,77,200410,108.46,183.44,170000,172500,5,37.5106772,127.1225012,https://kbland.kr/c/13142
504371,호수(家)하우스(도),송파구,방이동,20,202009,21.81,36.04,,,1,37.5141736,127.1155083,https://kbland.kr/c/504371
20167,흥진맨션,송파구,방이동,12,199609,84.54,104.06,,,0,37.5129204,127.1103942,https://kbland.kr/c/20167
400517,DW동원아이파크,송파구,삼전동,14,200502,31.08,117.42,24200,125400,0,37.5017493,127.0864523,https://kbland.kr/c/400517
21064,경덕,송파구,삼전동,19,200401,39.36,98.63,67200,88100,2,37.5022784,127.0937253,https://kbland.kr/c/21064
39475,굿피플.,송파구,삼전동,12,201711,33.17,33.38,,,0,37.5051668,127.0893515,https://kbland.kr/c/39475
29809,동승.,송파구,삼전동,17,199305,56.56,136.10,37400,86800,0,37.5010074,127.0948377,https://kbland.kr/c/29809
18116,동신,송파구,삼전동,19,200311,66.70,87.40,73500,80700,0,37.50051200,127.09364500,https://kbland.kr/c/18116
2308848,동화포레스트블루(도시형),송파구,삼전동,8,202402,32.19,66.94,,,0,37.5008231,127.08918,https://kbland.kr/c/2308848
40525,메트로샤인,송파구,삼전동,20,201801,20.95,28.28,,,2,37.5057213,127.0897787,https://kbland.kr/c/40525
41053,삼성,송파구,삼전동,12,200605,87.71,87.71,88000,88000,0,37.4999534,127.0901012,https://kbland.kr/c/41053
651224,슬로우밀리355(도),송파구,삼전동,13,202208,29.13,39.69,,,0,37.5017724,127.0878653,https://kbland.kr/c/651224
